Name,Company,Year,Engine/CC,Valves,Version,Cylinders, 0-100 km/h.seconds,Horsepower,Max velocity,Price 2021,KG CO2 mean/100 km.,target,gr./Km CO2g,> 95 gr./km CO2 EU Normative
Clio,Renault,1993,2.0,16.0,Williams,4.0,7.8,150.0,218.0,19500.0,20.49,1,204.9,+109.9
Saxo,Citro�n,1997,1.6,16.0,VTS,4.0,8.7,120.0,205.0,12500.0,19.29,0,192.9,+97.7
106,Peugeot,1991,1.6,16.0,GTI,4.0,8.5,120.0,203.0,9600.0,19.29,0,192.9,+97.7
106,Peugeot,1996,1.6,8.0,Rallye,4.0,10.0,103.0,195.0,9500.0,20.01,0,200.1,+105.1
Ibiza,Seat,1996,2.0,16.0,Cupra II,4.0,8.3,150.0,215.0,7000.0,20.01,1,200.1,+105.1
Uno,Fiat,1990,1.3,8.0,Turbo i.e,4.0,7.9,105.0,197.0,8000.0,19.06,0,190.6,+95.6
205,Peugeot,1990,1.9,8.0,GTI,4.0,8.2,130.0,203.0,14400.0,19.29,0,192.9,+97.9
Fiesta,Ford,1990,1.6,8.0,RS Turbo,4.0,8.0,130.0,210.0,8500.0,20.01,0,200.1,+105.1
Polo,Volkswagen ,1990,1.3,8.0,G40 Turbo,4.0,8.5,115.0,197.0,6000.0,17.39,0,173.9,+78.9
Swift,Suzuki,1992,1.3,16.0,GTI,4.0,9.0,115.0,188.0,2000.0,16.44,0,164.4,+69.4
Corsa B,Opel,1993,1.6,16.0,GSI,4.0,9.3,109.0,192.0,1500.0,18.58,0,185.8,+90.8
Astra,Opel,1991,2.0,16.0,GSI,4.0,8.0,150.0,220.0,3900.0,18.34,1,183.4,+88.4
33,Alfa Romeo,1986,1.5,8.0,Quadriflogio,4.0,8.3,100.0,211.0,4500.0,13.34,0,134.4,+39.4
Escort,Ford,1994,2.0,16.0,RS Cosworth,4.0,6.6,227.0,234.0,1500.0,24.30,1,243.0,+148.0
19,Renault,1990,1.8,16.0,16V,4.0,8.2,140.0,213.0,4500.0,19.53,0,195.3,+100.3
Delta,Lancia,1993,2.0,8.0,HF Turbo,4.0,8.7,138.0,198.0,16250.0,21.44,1,214.4,+119.4
R5,Renault,1986,1.4,8.0,Turbo 2,4.0,4.3,385.0,200.0,50000.0,16.91,0,169.1,+74.1
Coupe,FIAT,1993,2.0,16.0,FA/175,4.0,9.2,139.0,208.0,6000.0,21.44,1,214.4,+119.4
Barchetta,FIAT,1995,1.8,16.0,Barchetta,4.0,8.5,130.0,200.0,6690.0,20.01,0,200.1,+105.1
MX5,Mazda,1995,1.8,16.0,MX5,4.0,8.7,115.0,185.0,9900.0,20.72,0,207.2,+112.2
Prelude,Honda,1991,2.0,16.0,2.0i 16v 4 ws,4.0,7.9,150.0,212.0,3500.0,20.96,1,209.6,+114.6
Celica,Toyota,1998,2.0,16.0,1.8 ST,4.0,8.0,116.0,225.0,19000.0,21.68,1,216.8,+121.8
Golf,Volkswagen ,1990,1.8,16.0,GTI 16v,4.0,9.0,136.0,200.0,6500.0,21.44,0,214.4,+119.4
Probe,Ford,1998,2.5,24.0,2.5 i 24 v,6.0,10.6,170.0,204.0,4500.0,24.06,1,240.6,+145.6
Calibra,Opel,1992,2.0,16.0,2.0i 16v,4.0,8.5,130.0,223.0,4000.0,24.30,1,243.0,+148.0
Eclipse,Mitsubishi,1997,2.0,16.0,Eclipse 2 DOHC ,4.0,9.4,213.0,220.0,2800.0,23.11,1,231.1,+136.1
Coupe,Hyunday,1997,1.6,16.0,Coupe 1 1.6 i,4.0,10.5,112.0,193.0,1500.0,19.77,0,197.7,+102.7
Supra,Toyota,1990,3.0,24.0,Supra III 3.0 Turbo,6.0,6.3,200.0,245.0,15990.0,25.73,1,257.3,+162.3
Capri,Ford,1983,2.8,12.0,Capri 2.8i,6.0,9.1,160.0,202.0,11500.0,26.44,1,264.4,+169.4
Manta,Opel,1989,2.0,8.0,Manta B2 2.0i GSI,4.0,10.0,110.0,192.0,5500.0,19.77,1,197.7,+102.7
11,Renault,1986,1.4,8.0,R 11 Turbo,4.0,9.0,115.0,186.0,6000.0,14.77,0,147.7,+52.7
Fuego,Renault,1986,2.0,8.0,Renault Fuego,4.0,11.0,109.0,192.0,6500.0,13.58,1,135.8,+40.8
SLK,Mercedes Benz,1996,2.3,16.0,SLK 230 Kompressor,4.0,7.6,190.0,231.0,6000.0,22.15,1,221.5,+126.5
944,Porsche,1998,2.5,8.0,944 Coupe Turbo S,4.0,6.0,250.0,260.0,18000.0,23.82,1,238.2,+143.2
CX,Citro�n,1989,2.5,8.0,CX 25 GTI Turbo 2,4.0,7.8,167.0,223.0,15000.0,24.77,1,247.7,+152.7
Ibiza,Seat,1990,1.5,8.0,Ibiza I 1.5 i,4.0,12.2,89.0,175.0,1000.0,15.96,0,159.6,+64.6
